Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
SGGEF,The Sage Group plc,8.02,-2.43,-23.25%,649,"1,096",10.835B,27.66,
SMAR,Smartsheet Inc.,83.77,2.62,3.23%,2.099M,1.029M,10.481B,N/A,
MANH,"Manhattan Associates, Inc.",165.15,0.25,0.15%,"281,286","328,128",10.47B,107.24,
IS,ironSource Ltd.,10.3,0,0.0489,1.253M,1.481M,10.433B,163.49,
GWRE,"Guidewire Software, Inc.",123.01,4.57,0.0386,1.928M,"475,235",10.229B,N/A,
PLAN,"Anaplan, Inc.",67.96,0.96,1.43%,1.752M,1.768M,9.935B,N/A,
DLB,"Dolby Laboratories, Inc.",96.98,-1,-0.89%,"278,235","347,121",9.833B,34.55,
DOX,Amdocs Limited,78.31,0,0.28%,"571,520","558,140",9.914B,14.64,
G,Genpact Limited,52.27,-0.42,-0.80%,"509,837","830,721",9.813B,28.75,
TIXT,TELUS International (Cda) Inc.,35.39,1,2.11%,"145,720","209,309",9.416B,130.11,
NTNX,"Nutanix, Inc.",43.24,3,7.03%,6.046M,2.293M,9.148B,N/A,
CNXC,Concentrix Corporation,173.84,-3.48,-1.96%,"74,587","231,525",9.077B,32.19,
DXC,DXC Technology Company,36.02,0,1.07%,1.983M,2.284M,9.074B,27.58,
AZPN,"Aspen Technology, Inc.",130.92,0,0.00%,"182,205","390,873",8.782B,28.03,
AVASF,Avast Plc,8.3,0,0.00%,"2,000","2,089",8.583B,29.64,
DAVA,Endava plc,136.03,0,0.0032,"260,879","138,565",8.266B,166.5,
APPN,Appian Corporation,113.69,6,5.20%,"494,654","657,232",8.081B,N/A,
DNB,"Dun & Bradstreet Holdings, Inc.",18.5,0,-1.33%,"624,911",1.931M,7.975B,N/A,
TMICY,Trend Micro Incorporated,57.09,1,2.68%,"3,779","6,032",7.95B,30.89,
