Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
RLXXF,RELX PLC,30.4,0,0.00%,"1,612","26,117",58.805B,32.03,
PDRDY,Pernod Ricard SA,44.88,0,-0.09%,"45,023","71,766",58.626B,38.3,
ATVI,"Activision Blizzard, Inc.",75.26,1,0.79%,7.43M,8.113M,58.53B,22.59,
ANEWF,Australia and New Zealand Banking Group Limited,$19.83,0,0.00%,46,"1,388",56.71B,16.51,
LULU,Lululemon Athletica Inc.,$432.61,0.7,0.16%,"873,339","990,676",58.41B,68.46,
RELX,RELX PLC,30.14,0,-1.31%,"466,623","653,139",58.302B,31.76,
ANZBY,Australia and New Zealand Banking Group Limited,19.84,-0.21,-1.05%,"66,065","61,271",56.709B,16.52,
NIO,NIO Inc.,35.38,-1,-1.75%,23.755M,49.787M,57.975B,N/A,
IDXX,"IDEXX Laboratories, Inc.",679.64,-3,-0.43%,"255,680","390,574",57.821B,81.03,
IFNNY,Infineon Technologies AG,44.08,-0.26,-0.59%,"129,768","151,858",57.655B,63.24,
IFNNF,Infineon Technologies AG,43.15,-1,-2.38%,281,"5,273",57.655B,61.91,
EMR,Emerson Electric Co.,96.31,-1,-0.67%,1.712M,2.262M,57.574B,24.61,
AMKBY,A.P. Møller - Mærsk A/S,15.22,0,-2.53%,"286,295","115,757",57.501B,6.78,
APD,"Air Products and Chemicals, Inc.",259.56,-1,-0.33%,"739,021","893,909",57.457B,29.22,
NXPI,NXP Semiconductors N.V.,216.67,0,0.15%,1.097M,1.971M,57.447B,59.49,
HTHIF,"Hitachi, Ltd.",59.37,0,0.00%,37,979,57.424B,15.85,
SAFRF,Safran SA,134.5,3.56,2.72%,"4,881","2,049",57.395B,37.57,
ALGN,"Align Technology, Inc.",725.24,-1.87,-0.26%,"196,051","534,884",57.393B,82.67,
SDMHF,Sartorius Stedim Biotech S.A.,622,0,0.00%,30,46,57.335B,102.86,
RBGLY,Reckitt Benckiser Group plc,16.04,0,0.0012,"277,796","918,636",57.281B,N/A,
HTHIY,"Hitachi, Ltd.",117.91,0.45,0.0038,"15,799","30,344",57.244B,15.74,
RBGPF,Reckitt Benckiser Group plc,80.05,0.02,0.03%,414,"20,503",57.174B,N/A,
TRI,Thomson Reuters Corporation,115.03,1,1.28%,"504,940","398,028",57.038B,8.3,
NOC,Northrop Grumman Corporation,355.7,5,1.37%,"608,718","629,553",56.951B,12.9,
NTDOF,"Nintendo Co., Ltd.",484,-5.35,-1.09%,"1,057",477,56.848B,13.68,
NTDOY,"Nintendo Co., Ltd.",60.76,-1,-1.04%,"282,442","537,307",56.848B,13.74,
PBCRF,PT Bank Central Asia Tbk,2.25,0,-2.60%,"1,282","9,660",56.804B,31.69,
PBCRY,PT Bank Central Asia Tbk,57.5,-0.15,-0.26%,"1,159","5,661",56.803B,32.39,
NETTF,"NetEase, Inc.",16.89,1,7.24%,"270,259","19,085",56.664B,6.24,
KLAC,KLA Corporation,369.53,-1,-0.39%,"433,879",1.005M,56.441B,27.64,
NABZY,National Australia Bank Limited,9.99,0,0.60%,"52,841","90,538",65.782B,20.73,
AMKAF,A.P. Møller - Mærsk A/S,"2,975.00",179,0.064,15,66,56.133B,6.62,
AMKBF,A.P. Møller - Mærsk A/S,"3,103.97",78,2.58%,11,53,56.133B,6.91,
DBSDF,DBS Group Holdings Ltd,21.75,0,0.09%,"6,267","3,347",55.861B,12.67,
SAFRY,Safran SA,32.68,0,-0.58%,"258,748","284,133",55.798B,36.51,
PLTR,Palantir Technologies Inc.,28.56,-0.21,-0.73%,40.31M,43.557M,55.781B,N/A,
DBSDY,DBS Group Holdings Ltd,86.46,-2,-1.87%,"23,211","40,376",55.664B,12.59,
PUK-P,Prudential plc,26.07,-0.09,-0.32%,"17,107","24,340",55.365B,N/A,
BAIDF,"Baidu, Inc.",19.83,0,0.00%,"120,000","34,474",55.364B,1.02,
BIDU,"Baidu, Inc.",156.57,-4,-2.45%,3.228M,5.065M,55.364B,8.02,
ISNPY,Intesa Sanpaolo S.p.A.,17.11,0,0.09%,"216,002","124,584",55.232B,12.51,
INGVF,ING Groep N.V.,14.14,0.5,3.70%,"1,198","51,820",55.209B,11.82,
NAUBF,National Australia Bank Limited,19.74,0,-1.96%,405,692,65.704B,20.47,
GD,General Dynamics Corporation,197.42,0.67,0.34%,"468,901","876,801",55.187B,17.16,
VOLVF,AB Volvo (publ),22.1,-0.95,-4.12%,"1,453","5,400",55.14B,14.5,
VLVLY,AB Volvo (publ),22.32,-0.23,-1.03%,"200,324","131,953",55.139B,14.65,
IITSF,Intesa Sanpaolo S.p.A.,2.845,0,-0.52%,"102,000","47,838",55.127B,12.48,
DNZOY,DENSO Corporation,35.35,0,-0.01%,"15,888","25,944",55.06B,19.92,
DNZOF,DENSO Corporation,71,0,0.00%,531,165,55.06B,20.01,
F,Ford Motor Company,13.78,0,0.51%,57.44M,59.049M,55.048B,16.1,
LNSTY,London Stock Exchange Group plc,27.11,-0.55,-1.99%,"91,148","168,819",54.89B,78.52,
STGPF,Scentre Group,2.0301,0,0.00%,"2,500",701,54.85B,50.75,
LDNXF,London Stock Exchange Group plc,108.1,-1.4,-1.28%,"1,376","2,409",54.735B,78.28,
ING,ING Groep N.V.,14.01,0,0.57%,2.063M,3.684M,54.686B,11.7,
NTES,"NetEase, Inc.",81.34,0,-0.31%,3.192M,3.647M,54.578B,30.04,
MSCI,MSCI Inc.,661.37,8,1.19%,"214,960","283,655",54.525B,79.08,
CMG,"Chipotle Mexican Grill, Inc.","1,937.22",-7,-0.35%,"136,207","256,704",54.426B,94.26,
DXCM,"DexCom, Inc.",560.74,-11.99,-2.09%,"438,343","599,314",54.251B,105.05,
BAYRY,Bayer Aktiengesellschaft,13.71,0,-0.22%,"345,853","469,487",53.876B,N/A,
TKPHF,Takeda Pharmaceutical Company Limited,33.75,0,0.69%,"601,000","30,952",53.749B,13.65,
TAK,Takeda Pharmaceutical Company Limited,16.89,-0.26,-1.52%,1.7M,1.678M,53.748B,13.67,
HNHPF,"Hon Hai Precision Industry Co., Ltd.",7.75,-0.03,-0.38%,"47,771","112,420",53.729B,11.17,
